"num","Sujeto","CIF","OBS","Razon","GWh_15","pp_ventas","Obli_ahoGWh","IEEoa_17_EUR","Ajus_16","IEEoa_17_ajus16_EUR"
"390","g","A87612644",2,"MET ENERGIA ESPAÑA, S.A",0,0,0,0,NA,0
"391","g","CHE116272450",3,"MET INTERNATIONAL AG",0,0,0,0,0,0
"392","g","B64741127",NA,"METHANE LOGISTICS, S.L.",313.268,0.040315,1.218093,82728.71,100.26,82828.97
"393","ee","B99425191",1,"MI ELECTRICA, S.L.",0.5261,6.8e-05,0.002046,138.93,0,138.93
"394","pp","DE119438170",NA,"MITSUI & CO. DEUTSCHLAND  GMBH",0,0,0,0,NA,0
"395","g","A81466625",NA,"MOLGAS ENERGÍA, S.A.U.",764.208,0.098348,2.971502,201814.23,198.85,202013.09
"396","g","GB524252668",NA,"MORGAN STANLEY & CO. INTERNATIONAL PLC",0,0,0,0,0,0
"397","ee","B94130911",2,"MOSCOSO ENERGÍA S.L.",18.720735,0.002409,0.072793,4943.83,NA,4943.83
"398","ee+g","B99406944",NA,"MULTIENERGÍA  VERDE, S.L.",57.9,0.007451,0.225135,15290.4,1.04,15291.43
"399","g","A81655540",NA,"MULTISERVICIOS TECNOLÓGICOS, S.A.",7,0.000901,0.027218,1848.58,0,1848.58
"400","ee","B12820155",NA,"MUNICIPAL DE SERVICIOS VILLAHERMOSANA, S.L.",1.373455,0.000177,0.00534,362.71,0.46,363.16
"401","ee","B73817033",NA,"MY ENERGÍA ONER, S.L.",9.57558,0.001232,0.037233,2528.75,0.11,2528.86
"402","ee","A66585191",2.3,"NABALIA ENERGIA 2000 S.A.",0,0,0,0,NA,0
"403","ee","A82683434",NA,"NAVARRO GENERACION,  S.A.",0.028124,4e-06,0.000109,7.43,0.01,7.44
"404","pp","N8263329H",NA,"NAVIRES FUELS LIMITED",0,0,0,0,0,0
"405","ee","DK20293195",NA,"NEAS ENERGY A/S",0,0,0,0,20.72,20.72
"406","ee","B55522023",NA,"NEMON INTELLIGENCE  IN BUSINESS, S.L.",0.008965,1e-06,3.5e-05,2.37,0,2.37
"407","ee+g","B25512641",1,"NEOELECTRA  ENERGÍA, S.L.U.",0,0,0,0,0,0
"408","ee+g","A62332580",NA,"NEXUS ENERGIA, S.A.",2571.2,0.330895,9.997704,679009.85,690.36,679700.2
"409","ee+g","B98219868",NA,"NINOBE SERVICIOS ENERGÉTICOS, S.L.",34.77,0.004475,0.135198,9182.16,5.98,9188.14
"410","ee","B47732334",1,"NOBE SOLUCIONES  Y ENERGÍA, S.L.",1.915238,0.000246,0.007447,505.78,0,505.78
"411","ee+g","GB79916267",1.3,"NOBLE CLEAN FUELS LIMITED",0,0,0,0,0,0
"412","g","B13543731",NA,"NOVAGAS CRIOGENIA, S.L.",1.259,0.000162,0.004895,332.48,1.14,333.62
